Date,Open,High,Low,Close,Adj Close,Volume
2017-08-31,491.15,491.15,491.15,491.15,491.15,36301200
2017-09-01,495.18,495.18,495.18,495.18,495.18,36301200
2017-09-04,492.42,492.42,492.42,492.42,492.42,36301200
2017-09-05,489.99,489.99,489.99,489.99,489.99,36301200
2017-09-06,484.98,484.98,484.98,484.98,484.98,36301200
2017-09-07,481.27,481.27,481.27,481.27,481.27,36301200
2017-09-08,474.37,474.37,474.37,474.37,474.37,36301200
2017-09-11,478.32,478.32,478.32,478.32,478.32,36301200
2017-09-12,484.91,484.91,484.91,484.91,484.91,36301200
2017-09-13,491.63,491.63,491.63,491.63,491.63,36301200
2017-09-14,490.71,490.71,490.71,490.71,490.71,36301200
2017-09-15,489.84,489.84,489.84,489.84,489.84,36301200
2017-09-18,498.97,498.97,498.97,498.97,498.97,36301200
2017-09-19,496.95,496.95,496.95,496.95,496.95,36301200
2017-09-20,496.2,496.2,496.2,496.2,496.2,36301200
2017-09-21,498.77,498.77,498.77,498.77,498.77,36301200
2017-09-22,499.93,499.93,499.93,499.93,499.93,36301200
2017-09-25,507.24,507.24,507.24,507.24,507.24,36301200
2017-09-26,509.29,509.29,509.29,509.29,509.29,36301200
2017-09-27,508.21,508.21,508.21,508.21,508.21,36301200
2017-09-28,518.46,518.46,518.46,518.46,518.46,36301200
2017-09-29,517.64,517.64,517.64,517.64,517.64,36301200
2017-10-09,527.77,527.77,527.77,527.77,527.77,36301200
2017-10-10,540.06,540.06,540.06,540.06,540.06,36301200
2017-10-11,545.54,545.54,545.54,545.54,545.54,36301200
2017-10-12,544.09,544.09,544.09,544.09,544.09,36301200
2017-10-13,556.15,556.15,556.15,556.15,556.15,36301200
2017-10-16,560.69,560.69,560.69,560.69,560.69,36301200
2017-10-17,556.73,556.73,556.73,556.73,556.73,36301200
2017-10-18,560.72,560.72,560.72,560.72,560.72,36301200
2017-10-19,582.6,582.6,582.6,582.6,582.6,36301200
2017-10-20,574.33,574.33,574.33,574.33,574.33,36301200
2017-10-23,573.41,573.41,573.41,573.41,573.41,36301200
2017-10-24,567.33,567.33,567.33,567.33,567.33,36301200
2017-10-25,565.67,565.67,565.67,565.67,565.67,36301200
2017-10-26,605.09,605.09,605.09,605.09,605.09,36301200
2017-10-27,649.63,649.63,649.63,649.63,649.63,36301200
2017-10-30,622.08,622.08,622.08,622.08,622.08,36301200
2017-10-31,618.03,618.03,618.03,618.03,618.03,36301200
2017-11-01,623.01,623.01,623.01,623.01,623.01,36301200
2017-11-02,626.92,626.92,626.92,626.92,626.92,36301200
2017-11-03,639.17,639.17,639.17,639.17,639.17,36301200
2017-11-06,653.06,653.06,653.06,653.06,653.06,36301200
2017-11-07,642.07,642.07,642.07,642.07,642.07,36301200
2017-11-08,650.38,650.38,650.38,650.38,650.38,36301200
2017-11-09,650.07,650.07,650.07,650.07,650.07,36301200
2017-11-10,677.95,677.95,677.95,677.95,677.95,36301200
2017-11-13,687.88,687.88,687.88,687.88,687.88,36301200
2017-11-14,678.75,678.75,678.75,678.75,678.75,36301200
2017-11-15,688.08,688.08,688.08,688.08,688.08,36301200
2017-11-16,719.11,719.11,719.11,719.11,719.11,36301200
2017-11-17,690.25,690.25,690.25,690.25,690.25,36301200
2017-11-20,679.15,679.15,679.15,679.15,679.15,36301200
2017-11-21,677.25,677.25,677.25,677.25,677.25,36301200
2017-11-22,650.52,650.52,650.52,650.52,650.52,36301200
2017-11-23,633.73,633.73,633.73,633.73,633.73,36301200
2017-11-24,630.04,630.04,630.04,630.04,630.04,36301200
